route_id,service_id,trip_id,direction_id,shape_id
"101","757_94304","757_2556075","0","917682364"
"101","757_94304","757_2556076","0","917682364"
"101","757_94304","757_2556080","0","917682364"
"101","757_94304","757_2556082","0","917682364"
"101","757_94304","757_2556089","0","917682364"
"101","757_94304","757_2556091","0","917682364"
"101","757_94304","757_2556092","0","917682364"
"101","757_94304","757_2556094","0","917682364"
"101","757_94304","757_2556096","0","917682364"
"101","757_94304","757_2556099","0","917682364"
"101","757_94304","757_2556100","0","917682364"
"101","757_94304","757_2556101","0","917682364"
"101","757_94304","757_2556103","0","917682364"
"101","757_94304","757_2556104","0","917682364"
"101","757_94304","757_2556106","0","917682364"
"101","757_94304","757_2556107","0","369721051"
"101","757_94304","757_2556109","0","917682364"
"101","757_94304","757_2556112","0","917682364"
"101","757_94304","757_2556116","0","917682364"
"101","757_94304","757_2556117","0","917682364"
"101","757_94304","757_2556118","0","917682364"
"101","757_94310","757_2556219","0","917682364"
"101","757_94312","757_2556246","0","917682364"
"101","757_94312","757_2556252","0","917682364"
"101","757_94312","757_2556253","0","917682364"
"101","757_94312","757_2556256","0","917682364"
"101","757_94312","757_2556258","0","917682364"
"101","757_94312","757_2556260","0","917682364"
"101","757_94312","757_2556264","0","917682364"
"101","757_94312","757_2556266","0","917682364"
"101","757_94312","757_2556267","0","917682364"
"101","757_94312","757_2556268","0","917682364"
"101","757_94312","757_2556269","0","917682364"
"101","757_94312","757_2556270","0","917682364"
"101","757_94312","757_2556271","0","917682364"
"101","757_94312","757_2556272","0","917682364"
"101","757_94312","757_2556273","0","917682364"
"101","757_94312","757_2556274","0","369721051"
"101","757_94312","757_2556275","1","1688423373"
"101","757_94312","757_2556277","1","1688423373"
"101","757_94312","757_2556281","0","917682364"
"101","757_94312","757_2556282","0","917682364"
"101","757_94312","757_2556283","0","917682364"
"101","757_94313","757_2556284","0","1644117514"
"101","757_94304","757_2556410","1","3766166848"
"101","757_94310","757_2556415","1","920950918"
"101","757_94304","757_2556418","1","920950918"
"101","757_94312","757_2556420","1","920950918"
"101","757_94310","757_2556423","1","920950918"
"101","757_94304","757_2556426","1","920950918"
"101","757_94312","757_2556430","1","920950918"
"101","757_94303","757_2556432","1","920950918"
"101","757_94304","757_2556434","1","920950918"
"101","757_94312","757_2556438","1","920950918"
"101","757_94304","757_2556440","1","920950918"
"101","757_94304","757_2556444","1","920950918"
"101","757_94304","757_2556446","1","920950918"
"101","757_94312","757_2556449","1","920950918"
"101","757_94304","757_2556451","1","920950918"
