service_id,date,exception_type
"757_114590","20180313","1"
"757_114590","20180314","1"
"757_114590","20180315","1"
"757_114590","20180316","1"
"757_114590","20180319","1"
"757_114590","20180320","1"
"757_114590","20180321","1"
"757_114590","20180322","1"
"757_114590","20180323","1"
"757_114590","20180326","1"
"757_114590","20180327","1"
"757_114590","20180328","1"
"757_114590","20180404","1"
"757_114590","20180405","1"
"757_114590","20180406","1"
"757_114590","20180409","1"
"757_114590","20180410","1"
"757_114590","20180411","1"
"757_114590","20180412","1"
"757_114590","20180413","1"
"757_114590","20180416","1"
"757_114590","20180417","1"
"757_114590","20180418","1"
"757_114590","20180419","1"
"757_114590","20180420","1"
"757_114590","20180423","1"
"757_114590","20180424","1"
"757_114590","20180426","1"
"757_114590","20180427","1"
"757_114590","20180430","1"
"757_114590","20180502","1"
"757_114590","20180503","1"
"757_114590","20180504","1"
"757_114590","20180507","1"
"757_114590","20180508","1"
"757_114590","20180509","1"
"757_114590","20180510","1"
"757_114590","20180511","1"
"757_114590","20180514","1"
"757_114590","20180515","1"
"757_114590","20180516","1"
"757_114590","20180517","1"
"757_114590","20180518","1"
"757_114590","20180521","1"
"757_114590","20180522","1"
"757_114590","20180523","1"
"757_114590","20180524","1"
"757_114590","20180525","1"
"757_114590","20180528","1"
"757_114590","20180529","1"
"757_114590","20180530","1"
"757_114590","20180531","1"
"757_114590","20180601","1"
"757_114633","20170916","1"
"757_114633","20170923","1"
"757_114633","20170930","1"
"757_114633","20171007","1"
"757_114633","20171014","1"
"757_114633","20171021","1"
"757_114633","20171028","1"
"757_114633","20171104","1"
"757_114633","20171111","1"
"757_114633","20171118","1"
"757_114633","20171125","1"
"757_114633","20171202","1"
"757_114633","20171209","1"
"757_114633","20171216","1"
"757_114633","20171223","1"
"757_114633","20171230","1"
"757_114633","20180113","1"
"757_114633","20180120","1"
"757_114633","20180127","1"
"757_114633","20180203","1"
"757_114633","20180210","1"
"757_114633","20180217","1"
"757_114633","20180224","1"
"757_114633","20180303","1"
"757_114633","20180310","1"
"757_114633","20180317","1"
"757_114633","20180324","1"
"757_114633","20180331","1"
"757_114633","20180407","1"
"757_114633","20180414","1"
"757_114633","20180421","1"
"757_114633","20180428","1"
"757_114633","20180505","1"
"757_114633","20180512","1"
"757_114633","20180519","1"
"757_114633","20180526","1"
"757_114634","20170917","1"
"757_114634","20170924","1"
"757_114634","20171001","1"
"757_114634","20171008","1"
"757_114634","20171015","1"
"757_114634","20171022","1"
"757_114634","20171029","1"
"757_114634","20171101","1"
"757_114634","20171105","1"
"757_114634","20171112","1"
"757_114634","20171119","1"
"757_114634","20171126","1"
"757_114634","20171203","1"
"757_114634","20171208","1"
"757_114634","20171210","1"
"757_114634","20171217","1"
"757_114634","20171224","1"
"757_114634","20171225","1"
"757_114634","20171226","1"
"757_114634","20171231","1"
"757_114634","20180101","1"
"757_114634","20180106","1"
"757_114634","20180107","1"
"757_114634","20180114","1"
"757_114634","20180121","1"
"757_114634","20180128","1"
